Phoneme	SegmentClass	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click	Representation
N	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	-	0.002577319587628866
R	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	-	0.003681885125184094
Rʲ	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	-	0.0003681885125184094
R̪	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	-	0.0003681885125184094
R̪|R	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	-	0.013254786450662739
R̪̥|R̥	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	0.0003681885125184094
R̪̰|R̰	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	0	-	-	0	0	0	0	0	0	0	+	-	-	+	-	-	-	-	-	0.0011045655375552283
a	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.8935935198821797
ae	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0029455081001472753
ae̞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0014727540500736377
ae̞ˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	0	-,-,+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ae̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0007363770250368188
ai	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.03240058910162003
