,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Phoneme,Репрезентация,Есть ли звук в русском языке?,Есть ли звук в английском языке?,При произнесении этого звука есть фонация?,Это гласный верхнего подъема?,Этот звук слогообразующий? ,Это долгий звук?,Одним из активных артикуляторов при произнесении этого звука являются губы?,Это гласный переднего ряда?,Голосовые связки разведены при произнесении этого звука?,Это назализованный гласный?,Это гласный заднего ряда?,Этот гласный напряженный?,При произнесении этих звуков сводятся голосовые связки? сужается голосовая щель?,Этот звук огубленный?,Это гласный нижнего подъема?,Это краткий звук?,При произнесении этого звука корень языка отодвигается к глотке? ,"При произнесении этого звука расширяется полость глотки продвижением основной части языка вперед, а еще часто опущением гортани? "
a,0.8935935198821797,1,1,1,0,1,0,0,0,0,0,0,-1,0,-1,1,0,0,0
ă,0.0022091310751104565,0,0,1,0,1,0,0,0,0,0,0,-1,0,-1,1,1,0,0
ẵ,0.0003681885125184094,0,0,1,0,1,0,0,0,0,1,0,-1,0,-1,1,1,0,0
å,0.0003681885125184094,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,1,0,0,0
ä,0.02577319587628866,0,0,1,0,1,0,0,0,0,0,0,-1,0,-1,1,0,0,0
ã,0.18298969072164947,0,0,1,0,1,0,0,0,0,1,0,-1,0,-1,1,0,0,0
ã̈,0.0029455081001472753,0,0,1,0,1,0,0,0,0,1,0,-1,0,-1,1,0,0,0
a̟,0.0003681885125184094,0,0,1,0,1,0,0,-1,0,0,0,-1,0,-1,1,0,0,0
a̙,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,0,-1,0,-1,1,0,1,0
a̞,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,0,-1,0,-1,1,0,0,0
ã̟,0.0029455081001472753,0,0,1,0,1,0,0,-1,0,1,0,-1,0,-1,1,0,0,0
a̤,0.007731958762886598,0,0,1,0,1,0,0,0,1,0,0,-1,0,-1,1,0,0,0
ä̤,0.0003681885125184094,0,0,1,0,1,0,0,0,1,0,0,-1,0,-1,1,0,0,0
ã̤,0.0003681885125184094,0,0,1,0,1,0,0,0,1,1,0,-1,0,-1,1,0,0,0
ḁ,0.0003681885125184094,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,1,0,0,0
a̰,0.009941089837997054,0,0,1,0,1,0,0,0,0,0,0,-1,1,-1,1,0,0,0
ã̰,0.0029455081001472753,0,0,1,0,1,0,0,0,0,1,0,-1,1,-1,1,0,0,0
aː,0.30375552282768775,0,0,1,0,1,1,0,0,0,0,0,-1,0,-1,1,0,0,0
äː,0.01288659793814433,0,0,1,0,1,1,0,0,0,0,0,-1,0,-1,1,0,0,0
ãː,0.029086892488954345,0,0,1,0,1,1,0,0,0,1,0,-1,0,-1,1,0,0,0
ã̈ː,0.001840942562592047,0,0,1,0,1,1,0,0,0,1,0,-1,0,-1,1,0,0,0
a̟ː,0.0003681885125184094,0,0,1,0,1,1,0,-1,0,0,0,-1,0,-1,1,0,0,0
a̙ː,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,0,-1,0,-1,1,0,1,0
ã̟ː,0.0003681885125184094,0,0,1,0,1,1,0,-1,0,1,0,-1,0,-1,1,0,0,0
a̟̙ː,0.0003681885125184094,0,0,1,0,1,1,0,-1,0,0,0,-1,0,-1,1,0,1,0
a̤ː,0.002577319587628866,0,0,1,0,1,1,0,0,1,0,0,-1,0,-1,1,0,0,0
ã̤̈ː,0.0003681885125184094,0,0,1,0,1,1,0,0,1,1,0,-1,0,-1,1,0,0,0
a̰ː,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,0,-1,1,-1,1,0,0,0
aˑ,0.002577319587628866,0,0,1,0,1,1,0,0,0,0,0,-1,0,-1,1,1,0,0
a̤ˑ,0.0011045655375552283,0,0,1,0,1,1,0,0,1,0,0,-1,0,-1,1,1,0,0
a̰ˑ,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,0,-1,1,-1,1,1,0,0
æ,0.0743740795287187,0,1,1,0,1,0,0,1,0,0,0,-1,0,-1,1,0,0,0
æ̃,0.016200294550810016,0,0,1,0,1,0,0,1,0,1,0,-1,0,-1,1,0,0,0
æ̞̃,0.009941089837997054,0,0,1,0,1,0,0,1,0,1,0,-1,0,-1,1,0,0,0
æ̤,0.0003681885125184094,0,0,1,0,1,0,0,1,1,0,0,-1,0,-1,1,0,0,0
æ̰,0.0011045655375552283,0,0,1,0,1,0,0,1,0,0,0,-1,1,-1,1,0,0,0
æː,0.02540500736377025,0,0,1,0,1,1,0,1,0,0,0,-1,0,-1,1,0,0,0
æ̃ː,0.002577319587628866,0,0,1,0,1,1,0,1,0,1,0,-1,0,-1,1,0,0,0
æ̤ː,0.0003681885125184094,0,0,1,0,1,1,0,1,1,0,0,-1,0,-1,1,0,0,0
æˑ,0.0003681885125184094,0,0,1,0,1,1,0,1,0,0,0,-1,0,-1,1,1,0,0
aʱ,0.0003681885125184094,0,0,1,0,1,0,0,0,1,0,0,-1,0,-1,1,0,0,0
aˀ,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,0,-1,1,-1,1,0,0,0
ɐ,0.02466863033873343,0,0,1,0,1,0,1,0,0,0,0,-1,0,1,1,0,0,0
